iteration,beta0,beta1,beta2,log_likelihood,avg_error
0,0.0,59.223354870966354,59.983515197630595,-41692.67415459057,0.5
1,-199.98543896672166,18.47362403392377,20.06384567069329,-46051.70186008092,0.4999635974168042
2,0.014561033278340574,177.67020933217674,179.95094791196502,-46025.633311478116,0.5
3,-199.98505376168876,136.92033611051662,140.03088562147806,-1397.7397220044397,0.49999903698741777
4,-180.82445180606513,150.21931225959455,153.41974790437223,-0.8548220790818148,0.04790150488905907
5,-180.7572108641909,150.26056041488167,153.45890244932386,-0.7800370238803195,0.00016810235468551417
